J P Morgan Chase & Co
Name,Number
"Jawaharlal Nehru Technological University,India80",80
" University Of Mumbai,India50",50
" Anna University,India45",45
" Osmania University,India44",44
" University Of Madras,India26",26
 Columbia University25,25
" Anna University Chennai,India23",23
" University Of Technology Of Madhya Pradesh,India22",22
" Andhra University,India21",21
" University Of Pune,India21",21
" Visveswaraiah Technological University, Belgaum,India21",21
" Uttar Pradesh Technical University,India19",19
